worker_id,ring_name,birthday,birthplace,height_cm,weight_kg,promotion,rating,votes,profile_url
5663,Byron Saxton,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=5663&gimmick=Byron+Saxton
4455,Candice LeRae,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=4455&gimmick=Candice+LeRae
28369,Carlee Bright,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=28369&gimmick=Carlee+Bright
15859,Carmelo Hayes,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=15859&gimmick=Carmelo+Hayes
17995,Cathy Kelley,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=17995&gimmick=Cathy+Kelley
15197,Chad Gable,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=15197&gimmick=Chad+Gable
2178,Chad Patton,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2178&gimmick=Chad+Patton
25305,Channing Lorenzo,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=25305&gimmick=Channing+Lorenzo
30653,Chantel Monroe,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=30653&gimmick=Chantel+Monroe
1433,Charles Robinson,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1433&gimmick=Charles+Robinson
7381,Charlie Dempsey,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=7381&gimmick=Charlie+Dempsey
12939,Charlotte Flair,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=12939&gimmick=Charlotte+Flair
895,Chavo Guerrero Jr.,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=895&gimmick=Chavo+Guerrero+Jr.
16283,Chelsea Green,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=16283&gimmick=Chelsea+Green
13015,Chip Danning,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=13015&gimmick=Chip+Danning
31500,Chris Island,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31500&gimmick=Chris+Island
266,Chris Sabin,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=266&gimmick=Chris+Sabin
80,CM Punk,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=80&gimmick=CM+Punk
3686,Cody Rhodes,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=3686&gimmick=Cody+Rhodes
1527,Corey Graves,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1527&gimmick=Corey+Graves
14786,Cory Weston,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=14786&gimmick=Cory+Weston
10154,Cruz Del Toro,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=10154&gimmick=Cruz+Del+Toro
29125,Cutler James,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=29125&gimmick=Cutler+James
13587,Dallas Irvin,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=13587&gimmick=Dallas+Irvin
16337,Damian Priest,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=16337&gimmick=Damian+Priest
2007,Dan Engler,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2007&gimmick=Dan+Engler
31202,Dani Sekelsky,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31202&gimmick=Dani+Sekelsky
2730,Danilo Anfibio,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2730&gimmick=Danilo+Anfibio
24358,Dante Chen,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=24358&gimmick=Dante+Chen
15194,Daphanie LaShaunn,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=15194&gimmick=Daphanie+LaShaunn
806,Demolition Ax,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=806&gimmick=Demolition+Ax
1069,Demolition Smash,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1069&gimmick=Demolition+Smash
207,Devon,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=207&gimmick=Devon
9259,Dexter Lumis,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=9259&gimmick=Dexter+Lumis
18,Diamond Dallas Page,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=18&gimmick=Diamond+Dallas+Page
28177,Dion Lennox,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=28177&gimmick=Dion+Lennox
22500,Dominik Mysterio,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=22500&gimmick=Dominik+Mysterio
14355,Dragon Lee,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=14355&gimmick=Dragon+Lee++
2444,Drake Maverick,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2444&gimmick=Drake+Maverick
28708,Drake Morreaux,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=28708&gimmick=Drake+Morreaux
31409,Drako Knox,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31409&gimmick=Drako+Knox
2879,Drew McIntyre,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2879&gimmick=Drew+McIntyre
2918,Eddie Orengo,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2918&gimmick=Eddie+Orengo
24603,Edris Enofe,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=24603&gimmick=Edris+Enofe
5855,El Grande Americano,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=5855&gimmick=El+Grande+Americano+
